farmer_id,name,phone,registration_date,age,gender,county,farm_size_acres,mean_ndvi,ndvi_trend,growing_season_match,transaction_velocity,savings_rate,loan_repayment_history,cooperative_endorsement,chama_participation,neighbor_vouches,fertilizer_purchase_timing,seed_quality_tier,advisory_usage,drought_exposure_index,rainfall_deviation,temperature_anomaly,credit_score,farmer_type
FM0033,Faith Wanjiku,0731984287,2024-10-03,54,F,Kiambu,1.74,0.306,-0.047,0.499,15,0.092,0.0,1,0,0,0.272,1,0,0.057,5.94,3.06,28.8,struggling
FM0034,John Achieng,0752374647,2025-03-05,38,F,Nakuru,4.45,0.747,0.017,0.759,36,0.355,1.0,4,1,0,0.781,2,0,0.307,-15.27,1.7,100.0,average
FM0035,Grace Achieng,0743353746,2024-07-05,27,M,Bungoma,8.42,0.175,-0.055,0.434,14,0.187,0.0,2,0,1,0.485,1,0,0.078,-6.47,1.33,41.8,struggling
FM0036,Grace Mwangi,0755940773,2024-05-18,26,F,Nakuru,2.32,0.772,0.126,0.718,52,0.292,1.0,4,0,0,0.776,2,1,0.097,-5.5,2.06,100.0,average
FM0037,Mary Achieng,0721650278,2025-07-03,39,M,Bungoma,10.17,0.048,-0.09,0.508,9,0.38,0.0,1,0,0,0.226,1,0,0.073,4.14,1.23,23.1,struggling
FM0038,James Wambui,0723289643,2024-02-15,30,F,Kiambu,3.42,0.689,0.068,0.957,62,0.411,1.0,5,1,3,0.849,2,1,0.118,4.24,2.28,100.0,excellent
FM0039,Mary Wambui,0761688718,2024-04-29,60,F,Nakuru,2.14,0.854,-0.02,0.644,50,0.256,1.0,3,1,1,0.619,2,0,0.26,6.34,-0.42,98.0,average
FM0040,Samuel Mwangi,0751255428,2024-12-29,32,F,Nakuru,1.7,0.47,-0.054,0.434,15,0.043,0.0,2,0,0,0.432,1,0,0.044,-7.72,-1.64,44.6,struggling
FM0041,Mary Maina,0745587883,2024-12-11,44,M,Meru,4.97,0.662,-0.162,0.776,34,0.513,1.0,3,0,0,0.531,2,1,0.255,-12.81,-2.18,84.0,average
FM0042,Mary Wanjiku,0748120511,2024-03-05,33,F,Bungoma,14.19,0.36,-0.108,0.37,25,0.171,0.0,2,0,2,0.439,1,0,0.12,6.81,2.63,49.5,struggling
FM0043,John Wambui,0729718818,2025-06-21,50,M,Kiambu,0.59,0.693,-0.034,0.95,62,0.267,1.0,5,1,0,0.865,2,1,0.124,15.95,0.23,100.0,excellent
FM0044,Peter Wambui,0771226787,2023-12-01,42,M,Nakuru,1.42,0.879,0.024,0.699,36,0.191,1.0,3,1,2,0.644,1,0,0.246,18.47,2.28,100.0,average
FM0045,David Njeri,0756728215,2024-04-18,60,M,Meru,1.94,0.443,-0.024,0.377,25,0.104,0.5,2,0,2,0.264,1,0,0.16,9.5,-0.37,51.5,struggling
FM0046,James Mwangi,0721200624,2024-06-29,63,M,Meru,4.54,0.455,-0.097,0.442,15,0.064,0.0,2,0,0,0.243,1,0,0.367,-23.5,0.57,50.3,struggling
FM0047,David Kiprotich,0742778076,2024-12-18,40,M,Nakuru,9.02,0.812,-0.015,0.91,52,0.206,1.0,4,1,6,0.81,2,1,0.005,-11.29,0.26,100.0,excellent
FM0048,Grace Wanjiku,0767342646,2025-01-12,59,F,Meru,12.83,0.725,-0.103,0.848,46,0.212,1.0,3,1,2,0.591,1,0,0.116,-2.92,-0.16,90.5,average
FM0049,Samuel Achieng,0791800600,2023-12-18,58,M,Meru,3.47,0.804,0.002,0.819,40,0.328,1.0,4,1,1,0.759,2,0,0.439,-2.42,1.52,100.0,average
FM0050,James Wanjiku,0724525886,2024-06-03,59,M,Meru,20.72,0.833,-0.002,0.654,37,0.248,0.5,3,0,1,0.708,1,0,0.266,-23.34,2.87,84.7,average
FM0051,Mary Wambui,0703815144,2024-07-22,53,M,Meru,5.17,0.801,-0.009,0.798,36,0.274,1.0,3,0,0,0.611,1,1,0.403,-25.43,1.49,88.6,average
FM0052,Grace Kamau,0708589747,2024-08-28,43,F,Bungoma,3.85,0.842,0.066,0.888,55,0.439,1.0,5,1,3,0.808,3,1,0.074,15.93,2.36,100.0,excellent
FM0053,Faith Maina,0773263376,2024-08-25,33,M,Meru,4.44,0.954,-0.054,0.729,44,0.284,1.0,4,0,0,0.642,1,0,0.288,-7.59,2.74,100.0,average
FM0054,Grace Kamau,0784370894,2024-08-20,48,M,Uasin Gishu,1.92,0.618,0.006,0.603,32,0.355,1.0,4,1,1,0.596,2,0,0.419,7.3,1.95,100.0,average
FM0055,John Achieng,0764341005,2024-01-07,58,F,Uasin Gishu,4.01,0.562,0.023,0.819,34,0.152,0.5,3,1,3,0.684,2,0,0.427,6.39,5.44,83.0,average
FM0056,Lucy Wanjiku,0724133277,2024-02-15,43,M,Meru,15.02,0.751,-0.055,0.781,43,0.04,1.0,3,1,0,0.676,2,1,0.225,-6.74,0.47,100.0,average
FM0057,Sarah Kiprotich,0743682501,2024-03-17,43,M,Meru,12.69,0.519,0.017,0.693,27,0.507,1.0,4,0,1,0.649,1,1,0.283,-4.96,-0.57,100.0,average
FM0058,Sarah Maina,0752569705,2025-03-10,30,M,Nakuru,4.45,0.773,-0.006,0.862,60,0.398,1.0,5,1,4,0.811,2,1,0.278,-13.78,0.26,100.0,excellent
FM0059,Lucy Kiprotich,0737192252,2024-10-12,52,F,Bungoma,15.36,0.891,0.104,0.863,49,0.299,1.0,5,1,5,0.862,3,1,0.062,-3.23,1.25,100.0,excellent
FM0060,Samuel Wambui,0769748793,2025-09-05,26,M,Kiambu,1.91,0.736,-0.078,0.766,30,0.164,1.0,3,0,3,0.762,2,1,0.124,3.58,0.24,84.9,average
FM0061,Grace Achieng,0792548037,2024-09-30,43,F,Uasin Gishu,4.66,0.446,0.029,0.966,75,0.523,1.0,5,1,7,0.971,3,1,0.283,-13.35,0.89,100.0,excellent
FM0062,Faith Wambui,0782434203,2025-02-25,57,M,Meru,2.11,0.574,-0.059,0.772,26,0.38,1.0,3,1,0,0.728,2,1,0.174,-21.28,3.12,99.9,average
FM0063,Samuel Kiprotich,0708831924,2024-12-03,38,F,Meru,2.85,0.717,0.129,0.971,64,0.614,1.0,4,1,4,0.815,2,1,0.33,-11.36,2.15,100.0,excellent
FM0064,Grace Achieng,0769518245,2024-07-21,60,M,Kiambu,0.73,0.598,0.064,0.628,34,0.439,1.0,3,1,3,0.773,2,1,0.056,10.86,0.7,100.0,average
FM0065,Samuel Kiprotich,0705994376,2024-11-11,59,F,Uasin Gishu,3.86,0.262,0.072,0.563,20,0.106,0.0,1,0,1,0.398,1,0,0.269,-17.15,4.08,28.9,struggling
FM0066,Peter Njeri,0703830121,2024-07-09,53,M,Bungoma,2.12,0.767,0.08,0.685,28,0.231,1.0,3,0,3,0.642,2,0,0.191,2.85,2.71,89.1,average
FM0067,John Wambui,0766907755,2025-09-12,36,F,Bungoma,1.29,0.721,0.02,0.808,42,0.091,0.5,3,1,2,0.764,2,0,0.071,6.13,2.64,88.4,average
FM0068,Mary Kiprotich,0716938661,2024-09-09,40,F,Bungoma,5.19,0.731,-0.039,0.629,33,0.199,0.5,3,0,4,0.503,2,1,0.195,7.87,0.58,78.8,average
FM0069,Lucy Njeri,0789079814,2025-03-19,61,F,Meru,1.53,0.813,0.017,0.74,32,0.369,1.0,3,0,6,0.596,2,0,0.459,-0.2,0.02,98.8,average
FM0070,David Achieng,0721680041,2024-06-03,61,F,Bungoma,5.8,0.577,0.116,0.812,35,0.308,1.0,3,1,1,0.53,1,1,0.0,-9.51,0.24,94.8,average
FM0071,Mary Wambui,0757222357,2023-12-07,43,M,Meru,2.29,0.799,0.011,0.855,56,0.628,1.0,5,1,5,0.833,3,1,0.248,-2.35,2.57,100.0,excellent
FM0072,Samuel Kamau,0763475441,2024-06-23,38,M,Kiambu,17.96,0.635,-0.072,0.688,34,0.215,1.0,3,1,2,0.726,2,0,0.475,-12.44,-1.22,100.0,average
FM0073,Peter Wanjiku,0745759166,2025-06-19,47,M,Meru,2.91,0.895,0.01,0.888,48,0.665,1.0,4,1,6,0.8,2,1,0.421,-22.4,1.77,100.0,excellent
FM0074,Faith Njeri,0739839283,2023-12-11,56,M,Uasin Gishu,0.95,0.869,0.027,0.725,41,0.142,1.0,4,1,3,0.692,2,1,0.486,-23.09,-3.03,100.0,average
FM0075,Samuel Mwangi,0721173866,2023-12-12,33,F,Bungoma,7.55,0.933,0.053,0.891,55,0.651,1.0,4,1,0,0.902,2,1,0.196,-5.33,0.21,100.0,excellent
FM0076,Mary Wambui,0789252066,2025-02-07,31,F,Uasin Gishu,8.92,0.558,0.002,0.772,35,0.38,1.0,4,1,4,0.735,2,0,0.391,-11.25,-2.75,100.0,average
FM0077,Sarah Mwangi,0748730509,2025-05-16,59,M,Nakuru,6.19,0.51,0.004,0.769,37,0.42,1.0,3,1,2,0.61,1,0,0.026,-3.81,-0.79,92.6,average
FM0078,David Njeri,0773581516,2023-12-24,60,F,Meru,5.68,0.069,-0.006,0.394,18,0.164,0.5,2,0,0,0.28,1,0,0.31,7.49,-0.36,37.0,struggling
FM0079,John Mwangi,0742499758,2024-03-16,62,M,Bungoma,7.31,0.748,-0.121,0.718,47,0.271,1.0,3,0,1,0.734,2,0,0.15,16.4,3.87,88.7,average
FM0080,Mary Kamau,0772405854,2023-12-03,30,M,Kiambu,3.24,0.674,0.072,0.611,33,0.139,1.0,4,1,1,0.638,2,1,0.245,-0.45,0.24,100.0,average
FM0081,Lucy Wanjiku,0763065654,2024-07-02,51,M,Uasin Gishu,2.13,0.936,-0.031,0.861,47,0.44,1.0,4,1,5,0.913,3,1,0.319,-10.01,-0.38,100.0,excellent
FM0082,Grace Kiprotich,0701760511,2023-12-20,45,M,Meru,1.74,0.64,-0.115,0.848,33,0.304,1.0,4,0,2,0.572,1,1,0.301,-17.54,0.89,100.0,average
FM0083,Mary Mwangi,0733692118,2025-04-03,47,F,Meru,7.12,0.791,0.098,0.806,43,0.264,0.5,4,0,2,0.529,2,0,0.39,-0.55,3.09,89.1,average
FM0084,Sarah Njeri,0769185062,2024-04-21,46,M,Kiambu,13.34,0.116,-0.047,0.368,13,0.249,0.0,1,0,0,0.414,1,0,0.104,4.62,2.68,26.4,struggling
FM0085,Grace Njeri,0704622580,2024-05-04,41,F,Uasin Gishu,4.79,0.922,0.021,0.72,37,0.437,1.0,3,0,1,0.741,1,0,0.308,-0.58,0.95,95.9,average
FM0086,James Wanjiku,0716796693,2024-11-22,61,M,Kiambu,7.45,0.786,-0.022,0.799,37,0.319,1.0,3,1,2,0.788,2,1,0.442,4.21,1.05,100.0,average
FM0087,Sarah Kiprotich,0732740087,2024-08-23,53,M,Uasin Gishu,2.49,0.829,-0.011,0.912,69,0.632,1.0,4,1,3,0.876,3,1,0.41,-2.99,2.78,100.0,excellent
FM0088,Mary Achieng,0771433524,2025-05-20,39,M,Nakuru,3.09,0.865,0.069,0.933,47,0.601,1.0,5,1,6,0.985,2,1,0.204,12.66,0.56,100.0,excellent
FM0089,Grace Kiprotich,0754659450,2025-07-20,51,M,Kiambu,3.86,0.374,-0.007,0.747,39,0.317,1.0,4,0,2,0.793,1,0,0.124,-8.64,1.29,95.4,average
FM0090,Sarah Kamau,0730416728,2024-12-10,52,F,Meru,2.81,0.44,0.034,0.785,29,0.262,1.0,4,0,6,0.685,2,1,0.228,-15.63,1.56,94.2,average
FM0091,Grace Kamau,0771648034,2025-07-24,25,M,Bungoma,3.79,0.469,-0.038,0.711,31,0.494,1.0,4,0,3,0.548,1,0,0.0,10.43,-0.06,97.8,average
FM0092,James Kiprotich,0713654687,2024-03-22,47,M,Meru,0.76,0.443,0.019,0.654,41,0.441,1.0,4,0,3,0.765,2,0,0.222,-10.13,1.44,96.0,average
FM0093,Mary Kiprotich,0705386159,2025-02-04,37,F,Bungoma,2.74,0.472,-0.012,0.689,26,0.485,1.0,3,0,4,0.662,2,1,0.16,5.0,-0.45,90.6,average
FM0094,Peter Njeri,0790745778,2024-01-10,31,M,Bungoma,4.35,0.275,0.019,0.361,15,0.056,0.5,1,0,0,0.417,1,0,0.0,17.44,1.7,40.6,struggling
FM0095,Grace Kamau,0702059385,2024-06-09,56,M,Uasin Gishu,10.65,0.991,0.005,0.856,54,0.401,1.0,4,1,4,0.889,2,1,0.468,-2.95,3.73,100.0,excellent
FM0096,Faith Kiprotich,0789948213,2024-04-21,32,M,Uasin Gishu,4.08,0.688,-0.033,0.932,55,0.61,1.0,5,1,3,0.921,3,1,0.258,-4.7,2.12,100.0,excellent
FM0097,Sarah Wambui,0749172324,2024-10-26,36,M,Kiambu,6.1,0.833,-0.063,0.805,38,0.587,1.0,3,0,1,0.566,2,0,0.239,10.45,2.31,100.0,average
FM0098,David Kamau,0767615317,2025-04-18,55,F,Kiambu,3.22,0.84,0.088,0.796,34,0.37,0.5,4,1,7,0.64,2,0,0.313,1.72,1.4,100.0,average
FM0099,Mary Kamau,0791403830,2023-11-07,42,M,Nakuru,3.16,0.661,-0.0,0.701,33,0.297,1.0,3,1,2,0.69,2,0,0.317,6.41,1.47,100.0,average
FM0100,Lucy Wanjiku,0728413964,2024-07-20,50,F,Uasin Gishu,5.19,0.61,-0.109,0.491,16,0.053,0.0,1,0,1,0.41,1,0,0.297,-5.85,2.19,36.1,struggling
FM0101,Grace Wanjiku,0779723877,2024-03-16,39,M,Meru,1.89,0.619,0.037,0.653,29,0.361,1.0,3,0,0,0.793,2,1,0.307,-14.66,1.23,84.1,average
FM0102,James Wanjiku,0702873524,2025-03-31,58,M,Uasin Gishu,3.86,0.951,0.028,0.903,47,0.669,1.0,5,1,5,0.801,2,1,0.322,-11.61,3.05,100.0,excellent
FM0103,Sarah Maina,0735980709,2025-06-03,52,M,Bungoma,3.81,0.697,0.131,0.835,34,0.25,1.0,3,1,5,0.721,2,1,0.229,8.94,1.38,98.8,average
FM0104,John Mwangi,0732080782,2025-01-01,48,M,Uasin Gishu,4.79,0.77,0.015,0.636,33,0.332,1.0,3,1,1,0.762,1,0,0.266,-4.65,3.34,98.4,average
FM0105,Samuel Njeri,0795062664,2023-11-07,25,F,Nakuru,6.36,0.783,0.087,0.942,61,0.625,1.0,4,1,4,0.934,3,1,0.261,-9.33,1.97,100.0,excellent
FM0106,Peter Wanjiku,0749898558,2025-06-19,43,F,Uasin Gishu,3.15,0.577,-0.023,0.8,33,0.197,1.0,4,0,0,0.506,2,0,0.426,-17.19,2.62,91.0,average
FM0107,Faith Wambui,0709492989,2024-01-10,33,F,Uasin Gishu,0.3,0.398,0.037,0.669,39,0.462,1.0,3,0,3,0.779,1,0,0.222,-6.76,-0.22,87.1,average
FM0108,Faith Wanjiku,0751923821,2024-12-03,49,M,Nakuru,3.22,0.306,0.039,0.375,13,0.136,0.5,2,0,0,0.459,1,0,0.168,-9.16,2.12,44.9,struggling
FM0109,Peter Achieng,0784678410,2025-06-15,36,F,Kiambu,7.32,0.659,-0.063,0.818,35,0.259,0.5,4,0,0,0.608,1,0,0.159,3.22,1.17,91.1,average
FM0110,Lucy Kiprotich,0760011150,2024-05-10,51,F,Bungoma,3.15,0.729,-0.143,0.613,34,0.157,1.0,4,1,1,0.742,2,0,0.0,4.32,0.22,100.0,average
FM0111,Sarah Wanjiku,0728058751,2024-08-29,61,M,Bungoma,2.5,0.768,-0.077,0.764,37,0.215,1.0,4,0,2,0.704,2,0,0.155,-1.37,-1.29,100.0,average
FM0112,James Achieng,0705021983,2024-01-22,42,M,Meru,2.68,0.714,-0.013,0.842,31,0.212,1.0,3,0,1,0.734,2,0,0.236,-4.98,2.63,85.3,average
FM0113,Mary Kiprotich,0712541175,2024-09-28,49,F,Nakuru,9.11,0.914,0.131,0.686,38,0.135,1.0,3,1,2,0.782,1,1,0.153,-12.15,-0.04,92.0,average
FM0114,James Achieng,0755614081,2024-06-14,51,F,Nakuru,10.98,0.265,-0.141,0.37,28,0.181,0.0,1,0,0,0.375,1,0,0.189,-5.89,1.44,24.5,struggling
FM0115,Sarah Kiprotich,0704585315,2024-04-15,60,M,Meru,1.67,0.658,0.001,0.684,43,0.472,1.0,3,0,3,0.545,1,0,0.263,8.98,0.2,100.0,average
FM0116,James Kiprotich,0706818922,2025-07-05,25,M,Uasin Gishu,3.93,0.865,-0.02,0.639,39,0.47,0.5,4,1,4,0.64,2,0,0.329,-28.36,0.32,100.0,average
FM0117,Mary Njeri,0783629479,2025-07-20,36,M,Bungoma,0.61,0.818,-0.026,0.769,37,0.584,1.0,3,1,2,0.566,1,0,0.283,15.73,1.99,100.0,average
FM0118,Grace Njeri,0736183569,2024-12-11,27,M,Nakuru,7.74,0.112,0.031,0.59,16,0.07,0.0,1,0,1,0.358,1,0,0.306,1.03,1.95,26.6,struggling
FM0119,Sarah Maina,0775689368,2024-02-02,46,F,Bungoma,30.35,0.859,0.103,0.739,32,0.184,1.0,4,0,0,0.714,2,0,0.129,5.25,1.05,100.0,average
FM0120,Samuel Achieng,0723767091,2025-06-12,46,M,Bungoma,3.32,0.678,0.123,0.818,41,0.026,1.0,3,1,0,0.674,2,1,0.005,10.32,2.04,100.0,average
FM0121,David Achieng,0758576692,2024-02-09,40,M,Meru,2.9,0.441,0.064,0.808,24,0.432,1.0,3,1,2,0.541,2,0,0.376,2.11,2.62,93.8,average
FM0122,Sarah Njeri,0794265849,2024-08-05,47,M,Kiambu,10.86,0.847,0.091,0.969,51,0.247,1.0,4,1,2,0.823,3,1,0.284,-1.36,3.09,100.0,excellent
FM0123,Grace Kiprotich,0777805072,2024-03-29,50,M,Kiambu,1.32,0.939,-0.034,0.869,53,0.201,1.0,5,1,4,0.982,2,1,0.269,-7.71,0.84,100.0,excellent
FM0124,Grace Maina,0725562996,2025-04-12,42,M,Kiambu,1.41,0.914,0.015,0.991,45,0.535,1.0,4,1,7,0.997,2,1,0.069,-5.9,2.77,100.0,excellent
FM0125,Faith Kamau,0744117798,2025-05-31,27,M,Uasin Gishu,6.9,0.683,-0.1,0.666,35,0.257,0.5,3,1,1,0.504,2,0,0.423,-5.66,2.14,82.9,average
FM0126,Grace Mwangi,0789143466,2025-05-20,29,F,Meru,8.11,0.309,-0.018,0.649,34,0.276,0.5,3,0,5,0.599,2,0,0.575,-0.87,1.38,70.8,average
FM0127,Samuel Maina,0705050058,2025-05-07,59,M,Nakuru,10.57,0.878,0.042,0.965,53,0.393,1.0,4,1,2,0.842,3,1,0.206,-8.26,0.37,100.0,excellent
FM0128,James Kamau,0756803178,2024-10-14,54,F,Nakuru,1.3,0.74,0.02,0.96,53,0.576,1.0,5,1,4,0.999,2,1,0.228,-14.66,3.94,100.0,excellent
FM0129,Samuel Kiprotich,0768110885,2025-07-18,38,M,Nakuru,2.77,0.83,0.064,0.606,32,0.144,1.0,4,1,1,0.578,2,0,0.092,-23.47,1.68,100.0,average
FM0130,Sarah Kiprotich,0786972025,2025-07-23,56,F,Uasin Gishu,5.2,0.244,-0.004,0.569,11,0.206,0.0,2,0,1,0.254,1,0,0.267,-16.38,0.28,32.6,struggling
FM0131,David Wanjiku,0723518715,2025-07-20,31,M,Nakuru,1.13,0.704,-0.115,0.603,38,0.206,1.0,4,1,3,0.569,2,0,0.153,-8.66,1.5,100.0,average
FM0132,James Kamau,0710197174,2025-01-04,43,F,Bungoma,0.99,0.733,0.087,0.995,53,0.53,1.0,5,1,5,0.854,2,1,0.111,5.76,3.51,100.0,excellent
FM0133,Lucy Kamau,0735432211,2025-06-11,56,F,Kiambu,1.81,0.82,0.175,0.989,65,0.577,1.0,4,1,3,0.861,2,1,0.067,-1.09,-0.14,100.0,excellent
FM0134,Mary Maina,0736146254,2024-02-27,51,F,Meru,1.1,0.593,-0.024,0.654,25,0.277,1.0,3,1,5,0.712,2,0,0.222,-12.24,-0.83,98.6,average
FM0135,Sarah Mwangi,0708175576,2024-11-10,29,F,Uasin Gishu,2.3,0.755,0.02,0.664,35,0.384,1.0,3,0,3,0.64,2,1,0.266,-5.97,1.8,94.9,average
FM0136,David Kamau,0783050790,2025-03-26,41,F,Kiambu,2.8,0.6,0.064,0.63,24,0.22,1.0,3,1,1,0.511,2,0,0.139,-4.54,0.64,97.7,average
FM0137,Samuel Maina,0722224699,2024-01-29,54,M,Uasin Gishu,4.1,0.979,0.074,0.983,53,0.739,1.0,5,1,1,0.981,2,1,0.362,-21.16,1.06,100.0,excellent
FM0138,Mary Achieng,0764496620,2024-07-06,38,M,Kiambu,4.91,0.958,-0.003,0.875,62,0.357,1.0,4,1,6,0.971,2,1,0.307,0.69,0.54,100.0,excellent
FM0139,James Achieng,0728417654,2024-11-01,53,M,Nakuru,1.3,0.205,0.032,0.499,9,0.065,0.0,1,0,2,0.456,1,0,0.235,-11.53,3.44,24.8,struggling
FM0140,Mary Maina,0729452300,2025-01-03,49,F,Nakuru,2.48,0.632,0.053,0.831,41,0.335,1.0,3,0,5,0.658,2,1,0.187,-18.85,-1.95,87.5,average
FM0141,John Kiprotich,0716480387,2024-10-28,44,M,Bungoma,2.02,0.637,-0.103,0.736,30,0.151,0.5,3,1,2,0.585,1,1,0.007,15.69,-0.44,86.5,average
